XXyxY,XXXXYxyXyyxYYY,r2,0,8,False
XYXyxY,XXXYxYYYYXyxyXy,r2,1,12,True
XXXyXyy,XXXYxxxyXy,r2,3,7,False
XXyxY,XXYXyXXYxyyyxY,r2,0,0,True
XYYYYXYxy,XYYXYYYxyyxyy,r2,5,7,True
XXyxY,XXYXyXyyxYxYxY,r2,0,0,True
XXyxY,XXYYxyXyXyxyxY,r2,0,0,True
XXyxY,XXXYYxYYXyyXyXyy,r2,2,12,False
XYXyxY,XXXYxyxYXYxxy,r2,1,11,False
XYYYXYxy,XXyxYYXYYYYYY,r2,4,12,True
XXyxY,XXXXYxyxYXyxxY,r2,0,9,True
XXyxY,XXyxyxYXYXyyXY,r2,0,0,True
XXyxY,XXYXYYXYXyxyXy,r2,0,3,False
XXyxYxY,XXYYxYxxy,r2,0,1,True
XYXyxy,XYxYxYxYxyy,r1,1,0,False
XXYXY,XYXYxyxyXyXYxY,r2,0,9,False
XXYxY,XYXYXYxyxyxyy,r2,1,7,True
XXyxY,XXYYYYxyxyyyy,r2,1,12,False
XXXXyxYXy,XXyXYYxxyXYxy,r2,0,3,False
XXyxYxY,XXXXYYYxxxY,r2,0,0,True
XXyXYXY,XXXyxyxxYXY,r2,0,0,True
XXYXYXYXY,XYXYxYxyXy,r2,4,4,True
XXyxY,XXYxYYxxyxyyy,r2,0,5,False
XXYXYXY,XXXYxxyyyxxY,r2,4,4,True
XXYXXYXY,XXYXyxyXYYY,r2,0,0,True
XXyxY,XYXYYYxyyxyyy,r2,0,1,False
XXyxY,XXyxYYXYxyxyxY,r2,0,0,True
XXXXXyxxxYY,XXXYxxYYXXy,r2,0,8,True
XYXyxY,XXyXXyxYxYxxy,r2,0,8,True
XXyxY,XXyyXyXYxYYxxY,r2,0,0,True
XYXyxY,XXXXYXYYY,r2,3,1,True
XXyXYXY,XXYXXYXy,r2,0,3,True
XXyxY,XXXXYxyxyxYxy,r2,0,11,True
XXYXY,XXYXYYYxyXyyXYY,r2,0,0,True
XXYYxxy,XXyyxyyXyxY,r2,0,1,False
XXyxY,XXYYYYXyyyxyXy,r2,0,3,False
XXXY,XXyXYXY,r2,0,0,True
XXXYY,XXyxYXYXYxy,r2,1,9,False
XXYXY,XXyyxyxYXYYY,r2,0,9,False
XXyxY,XXXYxyxxYxxyXy,r2,0,3,False
XXyxY,XXyyxyxYxyXYxY,r2,0,0,True
XYXyxY,XXXXyxYYYxxyy,r2,0,7,True
XYXyxY,XXXXYXXYxYYXY,r2,0,11,True
XXYXY,XYYXYYXyyxYxyy,r2,0,5,True
XXyxY,XXXYxYXXyyXXy,r2,0,6,True
XXXXyXYxy,XXXYxxxyxxYXy,r2,3,1,True
XYXyxY,XXXXyxxyxxxYY,r2,1,6,True
XXYXY,XXXYYYXXYXXY,r2,0,9,True
XXYXY,XXYxxYxyXXyXY,r2,0,0,True
XXYXY,XXXYxyyXYxY,r2,2,4,True
XXyxY,XXYXyyxyxyXYXY,r2,0,5,False
XYXyxY,XXXYXYYxYXYXy,r2,0,9,True
XYxyXYxyXy,XXXyyXyXyxY,r2,0,1,False
XXYYxxy,XXXXXYxxYYxxY,r2,0,1,False
XXYXY,XXXyxxYXyxYXY,r2,0,0,True
XYXyxY,XXyxYYxxYxyXy,r2,0,5,True
XYXyxY,XXyyXYxYXYYxY,r2,0,8,True
XXyxY,XXYYYYYxxyyyy,r2,0,4,False
XXXYYXXYY,XXYXXYXYXYY,r2,1,3,True
XYXyxY,XXXYxYYxxyxYXyy,r2,0,12,True
XYXyxY,XXXYYxyxy,r2,0,1,False
XXyXyyxYY,XXyXyyXYXXyyXY,r1,0,10,False
XXyxY,XXYYYxyXyXyxY,r2,0,0,True
XXyxY,XXXXXXXYxyxy,r2,1,6,False
XXyXyXYxy,XXyXyxYYYxxyXy,r2,1,11,False
XXYxY,XXXyxYYXyxYxYY,r2,0,13,True
XXyxY,XXXYYxxyxyXXy,r2,0,6,False
XXyxY,XXYYXXYxyXyyXy,r2,1,9,False
XYXyxY,XXXYxxyxyxyxy,r2,0,1,False
XYXyxY,XXXXyyXYxYYxY,r2,0,8,False
XXyxY,XXYXYYXyXyxyy,r2,1,11,True
XXyxY,XXYYxxyXYxYXyy,r2,0,8,False
XXYXYXyxY,XXYXXYxYXyXYXYXY,r2,3,1,True
XXXXyxYXY,XXyxYXYYXy,r2,0,7,True
XXyxYxY,XXXYxyxxyXy,r2,0,3,False
